"ScriptStart","0x7D702 0x31A 0x70000083 0xC780 0x14 0x1 0x1B00E",,"----------------------------",,,
"Text","2 120 -1","NONE","...にくしみエナジーが
わたしたちを、よみがえらせた

このよにすむ、ひとびと[p40]に

たにんを、にくむこころが
あるかぎり

わたしはなんどでもよみがえ[p120]る

[s2]　　　クインベリル！

[s4]セーラームーン　おまえたちは
かつてわが、ダークキングダ[p40]ム

せかいせいふくの、のぞみを
うちくだいた

おまえたちはにっくきあいて

かならず、みなごろしに
してくれる

やだやだぁ！！　みんな
よみがえっちゃったの？！

そんなのやだぁ！[s120]！[p120]　","We have been resurrected by the hateful energy of this world.

So long as humankind has hate within their hearts, we shall never die![s20]  

[s1]                    Queen Beryl!

[s2][p40]Sailor Moon! You and your friends once foiled the Dark Kingdom's plans

for world domination.

You are our greatest enemy, and we shall slaughter you!

They've all been resurrected?

[p120]N-no way![s120]!  ","Intro, part 1. This is dialogue between Beryl and Moon; it's the only time in the game that characters exchange dialogue without portraits. All these lines are said by Beryl except the following by Moon:

　　　クインベリル！

やだやだぁ！！　みんな
よみがえっちゃったの？！
そんなのやだぁ！！　",
"ScriptEnd",,,"----------------------------",,,
"ScriptStart","0x7DA1C 0x7EC 0x70000083 0xC780 0x14 0x1 0x1B03A",,"----------------------------",,,
"Text","2 40 20","Mercury","うさぎちゃん[s40]！
[s4]どうしたの？","Usagi-chan[s40]![s2] What's wrong?","Intro, part 2.",
"Text","2 40 20","Moon","あっ[s40]！
[s4]ゆめか・・・

なぁんだ、そっか[s40]ぁ
[s4]あは　あは

あ[s2]ははははははははははははは
ははははははははははははは[p2]は

はははははははははははははは
はははははははははははははは

はははははははははははははは
ははははははははははははは[p30]は","Oh[s40]!

[s2]Um, I-I must've been dreaming[s40]![s4] Aha, aha...

[s1][p1]Ahahahahahahahahahahahahaha
hahahahahahahahahahahahahaha

hahahahahahahahahahahahahaha
hahahahahahahahahahahahahaha

[p30]hahahahahahahahahahahahahaha
hahahahahahahahahahahahahaha!",,
"Text","2 40 20","Mars","うさぎ[s40]！
[s4]ねてたわねっ！","Usagi[s40]![s2] Were you asleep?!",,
"Text","2 40 20","Mercury","ずいぶん　うなされていた
みたいだけど

どんなゆめだったの？","It sounded like you had a nightmare.

What was it about?",,
"Text","2 40 20","Jupiter","..........なに[s40]？
[s4]ダークキングダムがふっかつ？

ひょっとして、みらいのこと[s8]を
[s4]よち　しているのかも・・・","......Huh[s40]?[s2] The rebirth of the Dark Kingdom?

Maybe you had a visio[s8]n[s2] of the future...",,
"Text","2 40 20","Moon","なになに、それって
ちょーのーりょく？？

すっごーーい！！

そしたら　テレビにでて
ゆうめいになって

おいしいもの　たくさんたべ[s40]て
[s4]ようふくを　いっぱいかって

それから　それから　それから","You mean I have psychic powers?!

Awesome!!

I could go on TV, become famous,

eat lots of tasty food[s40],[s2] buy a bunch of new clothes...",,
